x,test_y2,ideal_y41,deviation,maps
-20.0,-19.28497,-40.456474,,False
-19.8,-19.915014,-40.006836,,False
-19.3,-38.458572,-38.817684,0.3591120000000032,True
-19.2,-37.17087,-38.57166,,False
-19.1,-38.155376,-38.323917,0.16854100000000471,True
-18.8,13.410461,-37.575233,,False
-18.3,-19.014248,-36.338844,,False
-17.9,1.1692159,-35.39342,,False
-16.8,-34.480774,-33.156216,,False
-15.4,29.490164,-30.95156,,False
-15.0,-0.20536347,-30.325144,,False
-15.0,-13.989205,-30.325144,,False
-14.7,-23.71317,-29.822874,,False
-14.4,-15.698657,-29.28283,,False
-14.3,-30.492392,-29.093386,,False
-12.5,25.675346,-24.966839,,False
-12.4,1.2345738,-24.717197,,False
-12.4,26.599438,-24.717197,,False
-12.0,0.670648,-23.731714,,False
-11.8,24.606413,-23.253237,,False
-11.0,-20.263054,-21.500006,,False
-10.6,19.67348,-20.738613,,False
-10.4,-2.007094,-20.386087,,False
-10.1,-40.44977,-19.887465,,False
-10.0,18.979424,-19.72799,,False
-9.7,18.183699,-19.26412,,False
-9.6,-10.995601,-19.112837,,False
-9.5,-9.652251,-18.962425,,False
-9.1,-31.648926,-18.359549,,False
-9.1,-8.293134,-18.359549,,False
-8.8,16.571745,-17.892458,,False
-8.7,-16.843908,-17.731485,,False
-8.2,-16.575344,-16.870365,0.2950209999999984,True
-8.2,15.767493,-16.870365,,False
-7.9,-0.21800028,-16.29947,,False
-7.6,-39.4954,-15.68396,,False
-7.3,-9.224243,-15.025218,,False
-5.7,2.4492908,-11.124658,,False
-5.3,-4.3722925,-10.1838665,,False
-4.6,-3.321962,-8.703155,,False
-4.6,-0.4953994,-8.703155,,False
-4.5,-9.88685,-8.511235,,False
-4.0,-8.339117,-7.6215987,,False
-3.2,7.2523284,-6.370813,,False
-3.1,-2.7701359,-6.2207904,,False
-2.8,-3.2989988,-5.767494,,False
-2.8,-2.6560864,-5.767494,,False
-1.9,-4.0369043,-4.27315,0.23624570000000045,True
-1.3,17.94832,-3.081779,,False
-1.0,38.057026,-2.4207356,,False
2.842171e-13,1.0261426,7.1054274e-13,,False
0.3,1.2151024,0.7477601,0.4673422999999999,True
0.8,1.4264555,1.958678,0.5322224999999998,True
2.8,-36.151726,5.767494,,False
3.0,-0.24295843,6.07056,,False
4.5,-0.8401146,8.511235,,False
4.6,-7.905099,8.703155,,False
5.3,-10.291622,10.1838665,,False
5.7,31.600712,11.124658,,False
5.8,10.711373,11.367699,0.656326,True
5.8,11.520408,11.367699,0.15270899999999976,True
6.3,13.4726305,12.608407,,False
6.7,6.232807,13.602425,,False
6.9,7.8014545,14.08922,,False
7.7,-14.40003,15.894084,,False
7.7,15.392297,15.894084,0.5017870000000002,True
7.7,7.778326,15.894084,,False
8.1,-16.659458,16.684944,,False
8.8,-0.7260513,17.892458,,False
9.2,7.5970726,18.511444,,False
9.8,-21.007133,19.41676,,False
10.1,20.669428,19.887465,,False
10.4,10.410377,20.386087,,False
10.7,38.790028,20.921682,,False
11.7,11.846094,23.019009,,False
11.7,31.159376,23.019009,,False
12.2,-0.010358215,24.220886,,False
12.5,23.7267,24.966839,,False
13.3,27.148037,26.934784,0.21325299999999814,True
13.5,-21.734203,27.401892,,False
13.6,12.65079,27.629581,,False
13.6,28.536507,27.629581,,False
13.7,28.15797,27.852978,0.3049919999999986,True
13.9,15.310406,28.286003,,False
14.0,-0.06650608,28.495304,,False
14.1,0.31000805,28.699656,,False
14.6,-0.677509,29.647396,,False
14.7,-0.27583703,29.822874,,False
16.3,16.863394,32.320972,,False
16.5,-33.964134,32.644108,,False
16.6,-33.41535,32.810825,,False
17.1,-34.927006,33.707966,,False
17.5,34.16104,34.512188,0.351148000000002,True
17.6,-35.10534,34.72558,,False
17.9,28.078455,35.39342,,False
18.2,18.535152,36.097584,,False
18.7,0.8322721,37.3255,,False
18.8,37.5234,37.575233,0.05183299999999491,True
18.9,19.193245,37.82521,,False
19.7,38.955273,39.775787,,False
